,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
963,1,골목상권,한강미주맨션아파트,분식전문점,61905491,6280,49981024,11924467,9232005,11856065,12929546,6616015,9347393,7706057,4218410,0,2885516,26419020,13418990,16930777,2251188,22042655,38766323,3472899,6000628,9295266,22683690,12539851,6816644,5384,896,1130,1228,1344,661,1021,647,249,0,391,2812,1472,1468,137,2190,4024,289,699,1033,2179,1259,756,6
964,1,골목상권,한강미주맨션아파트,호프-간이주점,192108139,8769,157431113,34677026,19668872,26002676,29319363,25143591,57296611,19650276,15026750,0,5892968,37848451,22924364,38761212,86681144,38808943,42425381,0,5743785,20353752,27119415,15114091,12903282,6308,2461,929,1290,1349,1139,1601,1065,1396,0,675,3333,2777,1497,487,3046,2895,0,975,1498,1724,704,1035,5
965,1,골목상권,한강미주맨션아파트,커피-음료,29734815,3592,17411711,12323104,2692844,3407404,3405810,3190142,4715511,6102148,6220956,0,4587201,9813559,8934030,6400025,0,9218971,17444693,42913,3169973,7696545,7572466,5258788,2922979,2096,1496,337,423,398,362,576,736,760,0,613,1152,1097,730,0,1103,2231,6,386,926,975,668,374,1
966,1,골목상권,한강미주맨션아파트,일반교습학원,42065642,242,37661730,4403912,7422777,9107933,11222218,0,9908802,4403912,0,1237972,0,11009781,9277375,20540514,0,21585514,20480128,0,0,8368490,11148950,15541977,7006225,212,30,27,32,83,0,70,30,0,4,0,70,79,89,0,112,130,0,0,37,113,62,30,9
967,1,골목상권,한강미주맨션아파트,외국어학원,562855911,852,562855911,0,71471188,15025193,170556245,190474777,115328508,0,0,0,225783981,30050386,194941726,112079818,0,274108250,288747661,0,0,142150509,372381133,0,48324269,852,0,203,41,323,163,122,0,0,0,162,81,487,122,0,406,446,0,0,162,567,0,123,3
968,1,골목상권,한강미주맨션아파트,예술학원,69935637,130,69935637,0,9835075,12792476,22902657,17675624,6729805,0,0,0,7084006,29986662,22146113,10718856,0,14443117,55492520,0,0,20210047,41472380,2751070,5502140,130,0,21,27,34,41,7,0,0,0,13,41,48,28,0,48,82,0,0,27,75,14,14,6
969,1,골목상권,한강미주맨션아파트,스포츠 강습,59912079,149,49426229,10485850,12514079,9898319,10252642,2078445,14682744,10485850,0,0,15448330,5242925,23122661,15459820,638343,25732890,34179189,0,801759,737925,27428754,24412966,6530675,140,9,42,17,39,17,25,9,0,0,39,4,34,68,4,38,111,0,13,8,73,38,17,6
970,1,골목상권,한강미주맨션아파트,일반의원,1786804050,60241,1514456188,272347862,364652716,319039334,337528716,255859462,237375960,272347862,0,0,478762989,743982111,416509303,147549647,0,818563713,946308146,2839094,52274629,276449262,426844966,444155120,562308787,52583,7658,12977,10423,10517,8811,9855,7658,0,0,16030,19779,18057,6375,0,25195,34952,131,2630,9994,16978,13365,17050,15
971,1,골목상권,한강미주맨션아파트,치과의원,458715569,7203,384702613,74012956,93188703,128529072,45160745,28790243,89033850,74012956,0,0,36865400,142582895,239273509,39993765,0,194549820,262620025,0,774780,76396136,170205255,77599879,132193795,5427,1776,1291,1345,1369,268,1154,1776,0,0,1061,1936,3562,644,0,2646,4547,0,32,2092,3409,956,704,9
972,1,골목상권,한강미주맨션아파트,한의원,59197636,956,50625514,8572122,11032049,1032940,10118982,17928514,10513029,0,8572122,0,6252472,17001419,12493467,23450278,0,21749115,37448521,0,530498,728159,15774644,17422246,24742089,752,204,177,38,154,153,230,0,204,0,115,281,267,293,0,458,498,0,51,39,77,332,457,3
